State,Commodity,Price
tamil nadu,onion,3150.0
tamil nadu,banana,5250.0
tamil nadu,ginger,8000.0
tamil nadu,snakeguard,2000.0
tamil nadu,raddish,2000.0
tamil nadu,onion,3250.0
tamil nadu,green chilli,6000.0
tamil nadu,snakeguard,3000.0
tamil nadu,ridge gourd,4000.0
tamil nadu,onion,4000.0
tamil nadu,coriander leaves,5500.0
tamil nadu,green chilli,5950.0
tamil nadu,banana,3650.0
tamil nadu,sweet potato,3750.0
tamil nadu,snakeguard,2200.0
tamil nadu,drumstick,2200.0
tamil nadu,onion,3750.0
tamil nadu,maize,3750.0
tamil nadu,cauliflower,2500.0
tamil nadu,green peas,5000.0
tamil nadu,papaya,4000.0
tamil nadu,bitter gourd,3500.0
tamil nadu,bottle gourd,2000.0
tamil nadu,sweet potato,3500.0
tamil nadu,carrot,2500.0
tamil nadu,raddish,2500.0
tamil nadu,maize,2500.0
tamil nadu,green peas,7200.0
tamil nadu,bitter gourd,5700.0
tamil nadu,bottle gourd,2400.0
tamil nadu,pumpkin,2400.0
tamil nadu,green chilli,4200.0
tamil nadu,beans,7200.0
tamil nadu,coconut,6500.0
tamil nadu,sweet potato,5000.0
tamil nadu,cabbage,2400.0
tamil nadu,ridge gourd,5400.0
tamil nadu,onion,3600.0
tamil nadu,banana,6000.0
tamil nadu,brinjal,3000.0
tamil nadu,coriander leaves,4000.0
tamil nadu,water melon,1750.0
tamil nadu,beans,5800.0
tamil nadu,muskmelon,2500.0
tamil nadu,onion,4000.0
tamil nadu,potato,3500.0
tamil nadu,coriander leaves,6000.0
tamil nadu,papaya,2500.0
tamil nadu,bitter gourd,5000.0
tamil nadu,coconut,3500.0
tamil nadu,raddish,3000.0
tamil nadu,guava,5000.0
madhya pradesh,wheat,2100.0
madhya pradesh,maize,1600.0
madhya pradesh,soybean,4500.0
madhya pradesh,wheat,2200.0
madhya pradesh,soybean,3999.0
madhya pradesh,wheat,2170.0
madhya pradesh,chickpea,7300.0
madhya pradesh,wheat,2150.0
madhya pradesh,wheat,2500.0
madhya pradesh,rice,4120.0
madhya pradesh,wheat,2250.0
madhya pradesh,rice,1600.0
gujarat,methi leaves,3500.0
gujarat,banana,1750.0
gujarat,potato,950.0
gujarat,carrot,1250.0
gujarat,cucumber,1650.0
gujarat,green chilli,3000.0
gujarat,grapes,7000.0
telangana,brinjal,700.0
telangana,capsicum,4750.0
telangana,potato,1750.0
telangana,sapota,2200.0
kerala,cucumber,4300.0
west bengal,bitter gourd,3200.0
west bengal,onion,1000.0
haryana,potato,600.0
tamil nadu,brinjal,2250.0
tamil nadu,beans,3850.0
tamil nadu,cabbage,2250.0
tamil nadu,ridge gourd,2750.0
andhra pradesh,tomato,1000.0
uttarakhand,potato,900.0
uttarakhand,cauliflower,1400.0
uttarakhand,orange,2200.0
uttarakhand,grapes,3500.0
uttarakhand,green chilli,2800.0
odisha,brinjal,3500.0
punjab,carrot,800.0
punjab,spinach,1126.0
west bengal,maize,2200.0
west bengal,rice,3925.0
tamil nadu,grapes,8500.0
tamil nadu,brinjal,3300.0
tamil nadu,water melon,2200.0
tamil nadu,bitter gourd,4100.0
tamil nadu,beans,7000.0
tamil nadu,carrot,4100.0
tamil nadu,beetroot,4100.0
tamil nadu,mango,3750.0
tamil nadu,muskmelon,3300.0
haryana,pumpkin,1500.0
haryana,tomato,1800.0
haryana,green chilli,3200.0
uttar pradesh,cauliflower,2200.0
uttar pradesh,water melon,2700.0
uttar pradesh,bottle gourd,1600.0
haryana,banana,3900.0
haryana,spinach,900.0
haryana,onion,1100.0
haryana,muskmelon,2800.0
tamil nadu,brinjal,2750.0
tamil nadu,papaya,3750.0
tamil nadu,pumpkin,1750.0
tamil nadu,green chilli,4750.0
tamil nadu,banana,3600.0
tamil nadu,snakeguard,3200.0
tamil nadu,cucumber,3250.0
tamil nadu,raddish,3250.0
tamil nadu,drumstick,3250.0
kerala,bitter gourd,7600.0
kerala,brinjal,3400.0
kerala,potato,3600.0
kerala,banana,6800.0
kerala,cucumber,1800.0
kerala,onion,2000.0
kerala,green chilli,8000.0
kerala,potato,3200.0
kerala,banana,4400.0
kerala,bitter gourd,6000.0
kerala,brinjal,4500.0
kerala,onion,2600.0
tripura,ridge gourd,6000.0
haryana,potato,700.0
rajasthan,maize,2500.0
punjab,raddish,700.0
himachal pradesh,cabbage,800.0
west bengal,tomato,1200.0
west bengal,green chilli,6700.0
tamil nadu,onion,2650.0
tamil nadu,bitter gourd,3000.0
tamil nadu,groundnut,5750.0
tamil nadu,mango,3300.0
tamil nadu,banana,3800.0
tamil nadu,banana,2100.0
tamil nadu,raddish,2800.0
tamil nadu,banana,3900.0
tamil nadu,cauliflower,2750.0
tamil nadu,sapota,3750.0
tamil nadu,papaya,2200.0
tamil nadu,green chilli,4150.0
tamil nadu,raddish,2600.0
tamil nadu,onion,2250.0
haryana,bottle gourd,1500.0
haryana,cucumber,1500.0
haryana,raddish,600.0
tamil nadu,bitter gourd,2600.0
odisha,onion,1800.0
odisha,tomato,1000.0
tamil nadu,banana,2800.0
tamil nadu,tomato,1900.0
tamil nadu,bitter gourd,4750.0
tamil nadu,bottle gourd,1100.0
tamil nadu,pumpkin,1700.0
tamil nadu,green chilli,4750.0
tamil nadu,cabbage,1900.0
tamil nadu,maize,4750.0
tamil nadu,onion,2650.0
tamil nadu,brinjal,1750.0
tamil nadu,tomato,2000.0
tamil nadu,beans,6900.0
tamil nadu,ginger,7300.0
tamil nadu,capsicum,4750.0
tamil nadu,mango,4750.0
telangana,maize,2350.0
tamil nadu,brinjal,3200.0
tamil nadu,tomato,1800.0
tamil nadu,bitter gourd,4000.0
tamil nadu,bottle gourd,1800.0
tamil nadu,snakeguard,2750.0
tamil nadu,onion,2800.0
tamil nadu,coriander leaves,3600.0
tamil nadu,tomato,1800.0
tamil nadu,green chilli,4250.0
tamil nadu,mint,3800.0
tamil nadu,potato,3750.0
tamil nadu,banana,3000.0
tamil nadu,beans,7300.0
tamil nadu,snakeguard,3200.0
tamil nadu,cucumber,2750.0
tamil nadu,banana,6500.0
tamil nadu,bottle gourd,2250.0
tamil nadu,cabbage,2000.0
tamil nadu,cucumber,3200.0
tamil nadu,potato,3250.0
tamil nadu,papaya,3250.0
tamil nadu,ginger,6000.0
tamil nadu,coconut,4900.0
tamil nadu,onion,3250.0
tamil nadu,banana,5000.0
tamil nadu,papaya,3250.0
tamil nadu,bottle gourd,1350.0
tamil nadu,cucumber,4050.0
tamil nadu,capsicum,5750.0
chandigarh,cabbage,400.0
tamil nadu,cauliflower,3250.0
tamil nadu,pumpkin,1750.0
tamil nadu,ginger,7750.0
tamil nadu,snakeguard,2250.0
tamil nadu,beetroot,5750.0
tamil nadu,sapota,4250.0
tamil nadu,coconut,5000.0
tamil nadu,guava,5750.0
tamil nadu,onion,3000.0
tamil nadu,banana,7000.0
tamil nadu,brinjal,2750.0
tamil nadu,pumpkin,2000.0
tamil nadu,capsicum,6000.0
tamil nadu,coconut,6000.0
tamil nadu,potato,3500.0
tamil nadu,papaya,4250.0
tamil nadu,drumstick,3000.0
tamil nadu,bitter gourd,4000.0
tamil nadu,banana,2500.0
tamil nadu,snakeguard,2500.0
tamil nadu,drumstick,4000.0
tamil nadu,onion,2250.0
tamil nadu,bottle gourd,2000.0
tamil nadu,pumpkin,2000.0
tamil nadu,banana,3000.0
tamil nadu,ginger,8000.0
tamil nadu,cabbage,2500.0
tamil nadu,ridge gourd,5000.0
tamil nadu,onion,2500.0
tamil nadu,potato,2700.0
tamil nadu,green peas,8300.0
tamil nadu,sapota,3450.0
tamil nadu,bottle gourd,1450.0
tamil nadu,banana,2900.0
tamil nadu,beans,7800.0
tamil nadu,cabbage,2300.0
tamil nadu,capsicum,5850.0
tamil nadu,guava,4850.0
tamil nadu,muskmelon,2700.0
tamil nadu,maize,2500.0
tamil nadu,coriander leaves,4850.0
tamil nadu,papaya,2900.0
tamil nadu,pumpkin,1900.0
tamil nadu,coconut,7750.0
tamil nadu,snakeguard,2900.0
tamil nadu,banana,4250.0
tamil nadu,onion,2350.0
tamil nadu,brinjal,1800.0
tamil nadu,green peas,6800.0
tamil nadu,ridge gourd,3350.0
tamil nadu,capsicum,5900.0
tamil nadu,onion,3350.0
tamil nadu,onion,2300.0
tamil nadu,brinjal,1000.0
tamil nadu,green peas,8400.0
tamil nadu,papaya,3200.0
tamil nadu,snakeguard,2000.0
tamil nadu,beetroot,3200.0
tamil nadu,cucumber,3650.0
tamil nadu,tomato,2200.0
tamil nadu,groundnut,7500.0
tamil nadu,pumpkin,1750.0
tamil nadu,coconut,5750.0
tamil nadu,sweet potato,4500.0
tamil nadu,cabbage,2750.0
tamil nadu,ridge gourd,4500.0
tamil nadu,drumstick,5500.0
tamil nadu,mango,7500.0
tamil nadu,cauliflower,3750.0
tamil nadu,beetroot,4800.0
tamil nadu,coriander leaves,4200.0
tamil nadu,tomato,1500.0
tamil nadu,bitter gourd,3100.0
tamil nadu,bottle gourd,1350.0
tamil nadu,snakeguard,3600.0
tamil nadu,mint,3350.0
tamil nadu,banana,2600.0
tamil nadu,potato,3000.0
tamil nadu,pumpkin,1400.0
tamil nadu,green chilli,3750.0
tamil nadu,potato,2600.0
tamil nadu,coriander leaves,3750.0
tamil nadu,tomato,1150.0
tamil nadu,groundnut,7000.0
tamil nadu,banana,3000.0
tamil nadu,cucumber,2500.0
tamil nadu,onion,2750.0
tamil nadu,sapota,3750.0
tamil nadu,banana,1750.0
tamil nadu,grapes,7000.0
tamil nadu,onion,2500.0
tamil nadu,potato,2500.0
tamil nadu,green chilli,4250.0
tamil nadu,banana,3000.0
tamil nadu,sweet potato,3000.0
tamil nadu,drumstick,4000.0
tamil nadu,mint,3000.0
tamil nadu,banana,5750.0
tamil nadu,potato,2750.0
tamil nadu,cucumber,4500.0
tamil nadu,mint,3750.0
tamil nadu,potato,3700.0
tamil nadu,beans,7500.0
tamil nadu,sapota,3750.0
tamil nadu,water melon,1750.0
tamil nadu,tomato,1650.0
tamil nadu,bitter gourd,3750.0
tamil nadu,bottle gourd,1350.0
tamil nadu,green chilli,4750.0
tamil nadu,brinjal,2500.0
tamil nadu,coriander leaves,5750.0
tamil nadu,tomato,1750.0
tamil nadu,pumpkin,1750.0
tamil nadu,mint,3750.0
tamil nadu,beans,6500.0
tamil nadu,brinjal,2250.0
tamil nadu,sapota,6500.0
tamil nadu,carrot,2250.0
tamil nadu,cabbage,900.0
tamil nadu,snakeguard,2750.0
tamil nadu,raddish,2250.0
tamil nadu,muskmelon,3250.0
tamil nadu,brinjal,1200.0
tamil nadu,coriander leaves,2200.0
tamil nadu,tur,4250.0
tamil nadu,sapota,2800.0
tamil nadu,beans,4750.0
tamil nadu,ginger,7500.0
tamil nadu,carrot,4750.0
tamil nadu,raddish,900.0
tamil nadu,onion,3250.0
tamil nadu,mint,2200.0
tamil nadu,papaya,3750.0
tamil nadu,bottle gourd,1250.0
tamil nadu,carrot,3500.0
tamil nadu,ridge gourd,3750.0
tamil nadu,tur,4500.0
tamil nadu,papaya,3500.0
tamil nadu,bitter gourd,3250.0
tamil nadu,bottle gourd,1250.0
tamil nadu,green chilli,5500.0
tamil nadu,carrot,2250.0
tamil nadu,drumstick,3250.0
tamil nadu,onion,3500.0
tamil nadu,potato,2750.0
tamil nadu,bitter gourd,3300.0
tamil nadu,sweet potato,3300.0
tamil nadu,cabbage,1750.0
tamil nadu,ridge gourd,4250.0
tamil nadu,capsicum,5500.0
tamil nadu,mint,2750.0
tamil nadu,onion,2900.0
tamil nadu,potato,2900.0
tamil nadu,tomato,1900.0
tamil nadu,cabbage,1800.0
tamil nadu,raddish,2250.0
tamil nadu,capsicum,5500.0
tamil nadu,potato,2800.0
tamil nadu,carrot,3300.0
tamil nadu,bitter gourd,3300.0
tamil nadu,onion,2900.0
tamil nadu,brinjal,3800.0
tamil nadu,bottle gourd,2500.0
tamil nadu,pumpkin,1650.0
tamil nadu,drumstick,4500.0
tamil nadu,papaya,3800.0
tamil nadu,pumpkin,1650.0
tamil nadu,cucumber,3500.0
tamil nadu,guava,7500.0
tamil nadu,brinjal,3500.0
tamil nadu,beans,7500.0
tamil nadu,ginger,8500.0
tamil nadu,mango,4750.0
tamil nadu,tomato,2500.0
tamil nadu,bitter gourd,4000.0
tamil nadu,groundnut,5500.0
tamil nadu,beans,6250.0
tamil nadu,ginger,6500.0
tamil nadu,drumstick,6250.0
tamil nadu,mango,5150.0
tamil nadu,banana,2750.0
tamil nadu,brinjal,4500.0
tamil nadu,groundnut,5750.0
tamil nadu,bottle gourd,2750.0
tamil nadu,pumpkin,2100.0
tamil nadu,ginger,7000.0
tamil nadu,snakeguard,4750.0
tamil nadu,guava,4500.0
tamil nadu,potato,2650.0
tamil nadu,tomato,1650.0
tamil nadu,bitter gourd,4400.0
tamil nadu,green chilli,4750.0
tamil nadu,beans,7250.0
tamil nadu,ginger,6500.0
tamil nadu,snakeguard,5500.0
tamil nadu,ridge gourd,5500.0
tamil nadu,onion,2900.0
tamil nadu,sapota,3750.0
tamil nadu,groundnut,6750.0
tamil nadu,bottle gourd,1500.0
tamil nadu,carrot,5250.0
tamil nadu,snakeguard,3750.0
tamil nadu,cucumber,6500.0
tamil nadu,mango,7500.0
tamil nadu,papaya,2750.0
tamil nadu,bottle gourd,1250.0
tamil nadu,mango,7000.0
tamil nadu,guava,5750.0
tamil nadu,lemon,7000.0
tamil nadu,onion,2700.0
tamil nadu,coriander leaves,3700.0
tamil nadu,green chilli,5700.0
tamil nadu,cabbage,2250.0
tamil nadu,snakeguard,5000.0
tamil nadu,lemon,7200.0
tamil nadu,mint,3700.0
tamil nadu,banana,4250.0
tamil nadu,potato,3250.0
tamil nadu,bottle gourd,1650.0
tamil nadu,beetroot,2750.0
tamil nadu,cucumber,3500.0
tamil nadu,banana,4500.0
tamil nadu,ginger,7750.0
tamil nadu,coconut,5500.0
tamil nadu,snakeguard,2600.0
tamil nadu,beetroot,2800.0
tamil nadu,cucumber,5800.0
tamil nadu,ridge gourd,4200.0
tamil nadu,groundnut,5500.0
tamil nadu,ginger,7500.0
tamil nadu,ridge gourd,3250.0
tamil nadu,lime,1750.0
tamil nadu,bottle gourd,1750.0
tamil nadu,ridge gourd,3750.0
tamil nadu,banana,4750.0
tamil nadu,brinjal,4250.0
tamil nadu,papaya,2750.0
tamil nadu,green chilli,2750.0
tamil nadu,coconut,3750.0
tamil nadu,snakeguard,2250.0
tamil nadu,bottle gourd,1400.0
tamil nadu,potato,3650.0
tamil nadu,banana,2900.0
tamil nadu,coconut,5900.0
tamil nadu,cabbage,2250.0
tamil nadu,beetroot,4250.0
tamil nadu,ridge gourd,5250.0
tamil nadu,cauliflower,3900.0
tamil nadu,bottle gourd,1650.0
tamil nadu,pumpkin,1650.0
tamil nadu,green chilli,4750.0
tamil nadu,banana,3100.0
tamil nadu,cabbage,2250.0
tamil nadu,snakeguard,4750.0
tamil nadu,beetroot,4650.0
tamil nadu,drumstick,3750.0
tamil nadu,sapota,3750.0
tamil nadu,bitter gourd,3800.0
tamil nadu,banana,2200.0
tamil nadu,ginger,7750.0
tamil nadu,coconut,5250.0
tamil nadu,lime,3250.0
tamil nadu,banana,2750.0
tamil nadu,bottle gourd,1900.0
tamil nadu,pumpkin,1800.0
tamil nadu,ginger,7500.0
tamil nadu,capsicum,7000.0
tamil nadu,mango,6000.0
tamil nadu,guava,5500.0
tamil nadu,beans,6750.0
tamil nadu,coconut,4750.0
tamil nadu,sweet potato,3750.0
tamil nadu,carrot,5750.0
tamil nadu,mango,6750.0
tamil nadu,papaya,2750.0
tamil nadu,tomato,1600.0
tamil nadu,bitter gourd,3800.0
tamil nadu,guava,7000.0
tamil nadu,brinjal,2300.0
tamil nadu,sweet line,2900.0
tamil nadu,orange,6900.0
tamil nadu,coconut,5250.0
tamil nadu,snakeguard,2700.0
tamil nadu,papaya,2750.0
tamil nadu,coconut,4750.0
tamil nadu,drumstick,3500.0
tamil nadu,onion,3200.0
tamil nadu,banana,2200.0
tamil nadu,potato,2800.0
tamil nadu,sapota,3750.0
tamil nadu,bitter gourd,3750.0
tamil nadu,sweet potato,3750.0
tamil nadu,cabbage,2750.0
tamil nadu,raddish,2100.0
tamil nadu,onion,2500.0
tamil nadu,coriander leaves,2000.0
tamil nadu,papaya,2750.0
tamil nadu,bottle gourd,1250.0
tamil nadu,cucumber,3750.0
tamil nadu,onion,2900.0
tamil nadu,bottle gourd,2900.0
tamil nadu,green chilli,3500.0
tamil nadu,beans,5700.0
tamil nadu,coconut,5800.0
tamil nadu,banana,3750.0
tamil nadu,brinjal,3500.0
tamil nadu,papaya,4250.0
tamil nadu,pumpkin,2100.0
tamil nadu,drumstick,4750.0
tamil nadu,mango,4250.0
tamil nadu,onion,4200.0
tamil nadu,cauliflower,3300.0
tamil nadu,brinjal,3800.0
tamil nadu,tomato,2200.0
tamil nadu,bitter gourd,3500.0
tamil nadu,snakeguard,3300.0
tamil nadu,ridge gourd,4750.0
tamil nadu,raddish,2700.0
tamil nadu,guava,8000.0
tamil nadu,onion,4250.0
tamil nadu,cauliflower,2750.0
tamil nadu,tomato,2350.0
tamil nadu,bitter gourd,3750.0
tamil nadu,pumpkin,2100.0
tamil nadu,snakeguard,2750.0
tamil nadu,banana,3500.0
tamil nadu,onion,2750.0
tamil nadu,sapota,4750.0
tamil nadu,carrot,3750.0
tamil nadu,ridge gourd,3250.0
tamil nadu,potato,2400.0
tamil nadu,cauliflower,4000.0
tamil nadu,green peas,8000.0
tamil nadu,sweet line,7000.0
tamil nadu,banana,4000.0
tamil nadu,ginger,8000.0
tamil nadu,coconut,6000.0
tamil nadu,sweet potato,3600.0
tamil nadu,cabbage,2400.0
tamil nadu,raddish,2400.0
tamil nadu,capsicum,7000.0
tamil nadu,banana,3500.0
tamil nadu,bitter gourd,4000.0
tamil nadu,carrot,4800.0
tamil nadu,snakeguard,3500.0
tamil nadu,beetroot,3500.0
tamil nadu,mango,7300.0
tamil nadu,raddish,2400.0
tamil nadu,banana,2750.0
tamil nadu,green peas,4800.0
tamil nadu,papaya,3250.0
tamil nadu,pumpkin,1500.0
tamil nadu,green chilli,3500.0
tamil nadu,beans,6700.0
tamil nadu,coconut,4700.0
tamil nadu,capsicum,5500.0
tamil nadu,mango,3900.0
tamil nadu,muskmelon,6000.0
tamil nadu,onion,3150.0
tamil nadu,onion,2500.0
tamil nadu,potato,2400.0
tamil nadu,brinjal,1650.0
tamil nadu,banana,2750.0
tamil nadu,beans,6600.0
tamil nadu,mango,4500.0
tamil nadu,potato,2400.0
tamil nadu,coriander leaves,3000.0
tamil nadu,bottle gourd,1000.0
tamil nadu,pumpkin,1550.0
tamil nadu,coriander leaves,3000.0
tamil nadu,banana,3000.0
tamil nadu,coconut,4800.0
tamil nadu,beetroot,2000.0
tamil nadu,raddish,1500.0
tamil nadu,bottle gourd,900.0
tamil nadu,green chilli,4200.0
tamil nadu,drumstick,3900.0
tamil nadu,onion,2250.0
tamil nadu,brinjal,2300.0
tamil nadu,carrot,3100.0
tamil nadu,drumstick,3000.0
tamil nadu,guava,7000.0
tamil nadu,onion,3800.0
tamil nadu,brinjal,2500.0
tamil nadu,tomato,2700.0
tamil nadu,bottle gourd,900.0
tamil nadu,carrot,3100.0
tamil nadu,cucumber,4000.0
tamil nadu,pumpkin,1300.0
tamil nadu,onion,3800.0
tamil nadu,onion,3750.0
tamil nadu,coriander leaves,3750.0
tamil nadu,tomato,2400.0
tamil nadu,bottle gourd,2250.0
tamil nadu,banana,2600.0
tamil nadu,cabbage,1300.0
tamil nadu,snakeguard,1400.0
tamil nadu,ridge gourd,3250.0
tamil nadu,drumstick,2850.0
tamil nadu,onion,2500.0
tamil nadu,bitter gourd,4000.0
tamil nadu,green chilli,5000.0
tamil nadu,coconut,6000.0
tamil nadu,lemon,7000.0
tamil nadu,potato,2500.0
tamil nadu,green chilli,5000.0
tamil nadu,carrot,4000.0
tamil nadu,cabbage,3000.0
tamil nadu,snakeguard,4000.0
tamil nadu,ridge gourd,5000.0
tamil nadu,raddish,3000.0
tamil nadu,onion,2500.0
tamil nadu,bottle gourd,4000.0
tamil nadu,ridge gourd,4000.0
tamil nadu,banana,4000.0
tamil nadu,bitter gourd,4000.0
tamil nadu,bottle gourd,2000.0
tamil nadu,banana,3500.0
tamil nadu,sweet potato,4000.0
tamil nadu,raddish,3000.0
tamil nadu,coriander leaves,4000.0
tamil nadu,sapota,5000.0
tamil nadu,bottle gourd,2000.0
tamil nadu,ginger,7000.0
tamil nadu,cabbage,2000.0
tamil nadu,beetroot,3000.0
tamil nadu,raddish,2000.0
tamil nadu,drumstick,3600.0
tamil nadu,brinjal,3200.0
tamil nadu,coriander leaves,4000.0
tamil nadu,tomato,1600.0
tamil nadu,pumpkin,2200.0
tamil nadu,green chilli,3400.0
tamil nadu,coconut,4000.0
tamil nadu,cabbage,2000.0
tamil nadu,beetroot,3000.0
tamil nadu,onion,4000.0
tamil nadu,banana,4000.0
tamil nadu,green chilli,3600.0
tamil nadu,snakeguard,2300.0
tamil nadu,ridge gourd,4400.0
tamil nadu,lime,2600.0
tamil nadu,mint,4000.0
tamil nadu,onion,2750.0
tamil nadu,brinjal,4250.0
tamil nadu,groundnut,7500.0
tamil nadu,pumpkin,1750.0
tamil nadu,green chilli,2750.0
tamil nadu,banana,3750.0
tamil nadu,beans,7500.0
tamil nadu,cabbage,1750.0
tamil nadu,raddish,1750.0
tamil nadu,drumstick,5500.0
tamil nadu,muskmelon,2250.0
tamil nadu,onion,3750.0
tamil nadu,banana,1800.0
tamil nadu,banana,4600.0
tamil nadu,onion,2250.0
tamil nadu,brinjal,2750.0
tamil nadu,tomato,1350.0
tamil nadu,groundnut,4600.0
tamil nadu,pumpkin,1800.0
tamil nadu,snakeguard,2750.0
tamil nadu,onion,2250.0
tamil nadu,sapota,4500.0
tamil nadu,bitter gourd,3850.0
tamil nadu,carrot,2750.0
tamil nadu,beetroot,2750.0
tamil nadu,potato,3300.0
tamil nadu,green chilli,4600.0
tamil nadu,banana,1350.0
tamil nadu,beetroot,2750.0
tamil nadu,maize,2250.0
tamil nadu,papaya,3500.0
tamil nadu,bitter gourd,3900.0
tamil nadu,carrot,2750.0
tamil nadu,coriander leaves,4500.0
tamil nadu,pumpkin,1750.0
tamil nadu,sweet potato,2750.0
tamil nadu,drumstick,6500.0
tamil nadu,banana,5000.0
tamil nadu,cauliflower,3750.0
tamil nadu,brinjal,3500.0
tamil nadu,water melon,2000.0
tamil nadu,banana,3000.0
tamil nadu,beetroot,3000.0
tamil nadu,capsicum,5400.0
tamil nadu,drumstick,3500.0
tamil nadu,bitter gourd,3800.0
tamil nadu,coconut,6000.0
tamil nadu,carrot,5000.0
tamil nadu,cabbage,2000.0
tamil nadu,coriander leaves,2750.0
tamil nadu,pumpkin,1800.0
tamil nadu,beans,7250.0
tamil nadu,ridge gourd,3300.0
tamil nadu,capsicum,5250.0
tamil nadu,mango,4250.0
tamil nadu,onion,2750.0
tamil nadu,potato,2750.0
tamil nadu,brinjal,2000.0
tamil nadu,coriander leaves,3000.0
tamil nadu,tomato,2000.0
tamil nadu,green chilli,3500.0
tamil nadu,beans,7500.0
tamil nadu,ginger,8000.0
tamil nadu,sweet potato,4000.0
tamil nadu,snakeguard,3000.0
tamil nadu,raddish,2500.0
tamil nadu,capsicum,5500.0
tamil nadu,drumstick,4000.0
tamil nadu,potato,3000.0
tamil nadu,tomato,1800.0
tamil nadu,banana,3000.0
tamil nadu,ginger,8000.0
tamil nadu,sweet potato,4000.0
tamil nadu,carrot,4600.0
tamil nadu,snakeguard,3000.0
tamil nadu,drumstick,4000.0
tamil nadu,banana,2500.0
tamil nadu,banana,5000.0
tamil nadu,potato,2600.0
tamil nadu,brinjal,2200.0
tamil nadu,carrot,4000.0
tamil nadu,drumstick,3500.0
tamil nadu,onion,3600.0
tamil nadu,banana,3500.0
tamil nadu,onion,2500.0
tamil nadu,potato,3000.0
tamil nadu,sapota,3000.0
tamil nadu,papaya,3000.0
tamil nadu,bitter gourd,2400.0
tamil nadu,ginger,8000.0
tamil nadu,carrot,3000.0
tamil nadu,ridge gourd,2750.0
tamil nadu,banana,4500.0
tamil nadu,coriander leaves,3500.0
tamil nadu,tomato,1500.0
tamil nadu,bitter gourd,2500.0
tamil nadu,groundnut,7500.0
tamil nadu,sweet potato,3000.0
tamil nadu,beetroot,2400.0
tamil nadu,capsicum,4000.0
tamil nadu,maize,2500.0
tamil nadu,guava,5000.0
tamil nadu,potato,3000.0
tamil nadu,coriander leaves,5000.0
tamil nadu,tomato,1500.0
tamil nadu,beans,6000.0
tamil nadu,ginger,7000.0
tamil nadu,potato,2750.0
