Crop,Season,Area,Fertilizer,Temperature,rainfall,yeild
niger seed,kharif,7587.0,749.0,18.0,215.0,5.4
peas and beans  pulses,rabi,9230.0,911.0,21.0,215.0,7.34
safflower,rabi,48.0,4.0,28.0,215.0,3.33
sannhamp,whole year,1800.0,177.0,33.0,215.0,51.56
small millets,kharif,3742.0,369.0,29.0,215.0,5.02
small millets,rabi,1235.0,122.0,35.0,215.0,11.23
soyabean,kharif,800.0,79.0,26.0,215.0,5.76
sunflower,kharif,149.0,14.0,24.0,215.0,7.45
arhar/tur,kharif,7266.0,771.0,38.0,220.0,7.02
castor seed,kharif,1726.0,183.0,17.0,220.0,4.08
cotton lint,kharif,1637.0,173.0,15.0,220.0,4.56
gram,rabi,2336.0,247.0,34.0,220.0,5.12
mesta,kharif,5177.0,549.0,28.0,220.0,49.29
niger seed,kharif,8904.0,944.0,39.0,220.0,5.15
onion,whole year,7365.0,781.0,18.0,220.0,23.31
sweet potato,whole year,8955.0,950.0,25.0,220.0,34.59
tapioca,whole year,2836.0,300.0,16.0,220.0,47.4
tobacco,whole year,1373.0,145.0,20.0,220.0,5.06
arecanut,whole year,1550.0,164.0,38.0,387.0,12.13
black pepper,whole year,275.0,29.0,31.0,387.0,4.36
groundnut,kharif,350.0,37.0,35.0,387.0,14.66
groundnut,rabi,1004.0,106.0,38.0,387.0,17.6
ragi,kharif,1000.0,106.0,29.0,387.0,10.7
cotton lint,kharif,4772.0,506.0,29.0,291.0,16.14
dry chillies,whole year,312.0,33.0,31.0,291.0,9.94
groundnut,kharif,6921.0,734.0,25.0,291.0,7.43
jowar,kharif,2529.0,268.0,20.0,291.0,5.09
ragi,kharif,870.0,92.0,30.0,291.0,8.09
sesamum,kharif,2612.0,277.0,36.0,291.0,2.75
turmeric,whole year,3971.0,421.0,27.0,291.0,21.06
arhar/tur,kharif,871.0,92.0,27.0,620.0,7.43
castor seed,kharif,27.0,2.0,31.0,620.0,5.19
cotton lint,kharif,7455.0,791.0,39.0,620.0,7.44
dry chillies,whole year,1790.0,189.0,31.0,620.0,6.3
gram,rabi,460.0,48.0,32.0,620.0,6.15
mesta,kharif,4457.0,473.0,31.0,620.0,45.03
rapeseed andmustard,rabi,7042.0,747.0,30.0,620.0,6.6
rice,rabi,3929.0,416.0,39.0,620.0,35.24
sesamum,kharif,1304.0,138.0,17.0,620.0,5.21
soyabean,kharif,1038.0,110.0,23.0,620.0,8.94
sugarcane,whole year,80.0,8.0,17.0,620.0,27.88
sweet potato,whole year,5220.0,553.0,26.0,620.0,33.7
tapioca,whole year,4022.0,426.0,27.0,620.0,53.45
tobacco,whole year,719.0,76.0,19.0,620.0,6.79
arecanut,whole year,65.0,6.0,20.0,143.0,20.0
bajra,kharif,170.0,18.0,35.0,143.0,27.65
black pepper,whole year,12.0,1.0,31.0,143.0,5.83
cashewnut,whole year,210.0,22.0,34.0,143.0,8.43
cotton lint,kharif,357.0,37.0,39.0,143.0,51.4
dry chillies,whole year,11.0,1.0,35.0,143.0,31.82
ginger,kharif,133.0,14.0,35.0,143.0,7.07
groundnut,kharif,898.0,95.0,15.0,143.0,27.96
moong green gram,rabi,2453.0,260.0,30.0,143.0,5.39
ragi,kharif,124.0,13.0,33.0,143.0,36.45
urad,rabi,3159.0,335.0,26.0,143.0,7.81
arecanut,whole year,7677.0,814.0,37.0,231.0,17.1
arhar/tur,kharif,3077.0,326.0,19.0,231.0,7.54
bajra,kharif,146.0,15.0,19.0,231.0,6.58
barley,rabi,5077.0,538.0,17.0,231.0,9.23
cardamom,whole year,2875.0,305.0,25.0,231.0,2.4
castor seed,kharif,35.0,3.0,38.0,231.0,6.86
cotton lint,kharif,750.0,79.0,21.0,231.0,27.2
ginger,kharif,9165.0,972.0,37.0,231.0,20.61
groundnut,kharif,4804.0,509.0,33.0,231.0,6.89
groundnut,rabi,6098.0,647.0,22.0,231.0,15.2
horse-gram,rabi,4326.0,459.0,27.0,231.0,4.82
jowar,kharif,1156.0,122.0,26.0,231.0,4.67
moong green gram,kharif,578.0,61.0,23.0,231.0,5.07
moong green gram,rabi,2375.0,252.0,26.0,231.0,6.17
moong green gram,summer,7947.0,843.0,39.0,231.0,4.96
niger seed,kharif,6733.0,714.0,17.0,231.0,5.24
peas and beans  pulses,rabi,7041.0,747.0,39.0,231.0,8.56
safflower,rabi,60.0,6.0,22.0,231.0,3.17
sannhamp,rabi,107.0,11.0,34.0,231.0,27.85
sesamum,autumn,891.0,94.0,17.0,231.0,4.56
sesamum,winter,2510.0,266.0,20.0,231.0,5.12
small millets,kharif,3702.0,392.0,30.0,231.0,5.2
small millets,rabi,1505.0,159.0,22.0,231.0,10.24
soyabean,kharif,730.0,77.0,23.0,231.0,6.04
sunflower,kharif,150.0,15.0,27.0,231.0,6.0
arecanut,whole year,262.0,25.0,23.0,93.0,27.63
arhar/tur,rabi,6098.0,598.0,33.0,93.0,4.43
ginger,whole year,2329.0,228.0,31.0,93.0,27.97
gram,kharif,100.0,9.0,39.0,93.0,17.3
linseed,rabi,5486.0,538.0,35.0,93.0,1.99
rapeseed andmustard,rabi,4482.0,439.0,21.0,93.0,2.34
small millets,rabi,1961.0,192.0,32.0,93.0,7.39
arhar/tur,kharif,7280.0,714.0,27.0,196.0,7.09
castor seed,kharif,1662.0,163.0,38.0,196.0,4.1
cotton lint,kharif,1673.0,164.0,31.0,196.0,4.54
gram,rabi,2661.0,261.0,24.0,196.0,4.99
mesta,kharif,5049.0,495.0,37.0,196.0,48.64
niger seed,kharif,9044.0,887.0,32.0,196.0,5.14
onion,whole year,7359.0,722.0,15.0,196.0,23.31
sweet potato,whole year,8757.0,859.0,15.0,196.0,34.66
tapioca,whole year,2859.0,280.0,21.0,196.0,47.38
tobacco,whole year,1278.0,125.0,34.0,196.0,4.88
arecanut,whole year,1600.0,157.0,29.0,388.0,15.62
black pepper,whole year,480.0,47.0,34.0,388.0,2.08
groundnut,kharif,360.0,35.0,32.0,388.0,15.75
groundnut,rabi,1421.0,139.0,29.0,388.0,18.18
ragi,kharif,500.0,49.0,19.0,388.0,9.98
bajra,rabi,160.0,15.0,19.0,121.0,8.06
bajra,summer,913.0,89.0,35.0,121.0,10.93
black pepper,whole year,7249.0,711.0,39.0,121.0,24.26
garlic,whole year,5949.0,584.0,38.0,121.0,6.99
jowar,summer,5878.0,577.0,25.0,121.0,20.27
mesta,kharif,4288.0,420.0,19.0,121.0,15.55
rapeseed andmustard,rabi,7637.0,749.0,36.0,121.0,2.63
sannhamp,whole year,1424.0,139.0,36.0,121.0,2.49
turmeric,whole year,9251.0,908.0,28.0,121.0,44.36
cotton lint,kharif,3847.0,377.0,38.0,241.0,16.14
groundnut,kharif,3677.0,360.0,23.0,241.0,7.43
jowar,kharif,463.0,45.0,26.0,241.0,5.1
ragi,kharif,1955.0,191.0,39.0,241.0,8.09
sesamum,kharif,2002.0,196.0,39.0,241.0,3.98
turmeric,whole year,4127.0,405.0,19.0,241.0,21.9
arhar/tur,kharif,863.0,84.0,18.0,625.0,7.43
castor seed,kharif,23.0,2.0,26.0,625.0,5.22
cotton lint,kharif,7340.0,720.0,40.0,625.0,10.47
dry chillies,whole year,1810.0,177.0,36.0,625.0,6.33
gram,rabi,463.0,45.0,16.0,625.0,6.18
linseed,rabi,54.0,5.0,19.0,625.0,4.44
mesta,kharif,4635.0,455.0,40.0,625.0,46.08
rapeseed andmustard,rabi,7126.0,699.0,23.0,625.0,6.64
rice,rabi,4003.0,392.0,19.0,625.0,32.81
sesamum,kharif,1317.0,129.0,37.0,625.0,5.27
small millets,kharif,2800.0,274.0,39.0,625.0,8.09
soyabean,kharif,983.0,96.0,38.0,625.0,9.3
sugarcane,whole year,86.0,8.0,39.0,625.0,27.56
sweet potato,whole year,5143.0,504.0,36.0,625.0,33.76
tapioca,whole year,4110.0,403.0,19.0,625.0,53.23
tobacco,whole year,700.0,68.0,20.0,625.0,6.71
wheat,rabi,4215.0,413.0,37.0,625.0,16.35
arecanut,whole year,65.0,6.0,28.0,143.0,20.0
bajra,kharif,186.0,18.0,38.0,143.0,27.58
black pepper,whole year,12.0,1.0,19.0,143.0,5.83
cashewnut,whole year,202.0,19.0,26.0,143.0,5.99
cotton lint,kharif,452.0,44.0,28.0,143.0,50.88
ginger,kharif,227.0,22.0,34.0,143.0,5.15
groundnut,kharif,1175.0,115.0,28.0,143.0,18.37
moong green gram,kharif,2480.0,243.0,17.0,143.0,5.65
moong green gram,rabi,2480.0,243.0,24.0,143.0,5.65
ragi,kharif,125.0,12.0,24.0,143.0,22.08
urad,kharif,3392.0,332.0,34.0,143.0,6.26
urad,rabi,3392.0,332.0,27.0,143.0,6.26
arecanut,whole year,7773.0,763.0,21.0,190.0,15.68
arhar/tur,kharif,8868.0,870.0,40.0,190.0,6.69
bajra,kharif,313.0,30.0,17.0,190.0,8.18
barley,rabi,3471.0,340.0,23.0,190.0,5.24
castor seed,kharif,100.0,9.0,32.0,190.0,12.7
cotton lint,kharif,1188.0,116.0,32.0,190.0,23.0
ginger,kharif,9328.0,915.0,16.0,190.0,20.26
groundnut,kharif,2020.0,198.0,27.0,190.0,7.89
groundnut,rabi,8513.0,835.0,31.0,190.0,14.54
horse-gram,rabi,4311.0,423.0,17.0,190.0,5.02
jowar,kharif,1016.0,99.0,31.0,190.0,5.13
moong green gram,kharif,635.0,62.0,23.0,190.0,4.85
moong green gram,rabi,2410.0,236.0,32.0,190.0,5.82
moong green gram,summer,8197.0,804.0,27.0,190.0,5.87
niger seed,kharif,6874.0,674.0,16.0,190.0,5.39
peas and beans  pulses,rabi,7338.0,720.0,26.0,190.0,8.33
safflower,rabi,29.0,2.0,35.0,190.0,3.1
sannhamp,whole year,1519.0,149.0,20.0,190.0,46.5
small millets,kharif,3061.0,300.0,39.0,190.0,5.31
small millets,rabi,1285.0,126.0,21.0,190.0,10.18
soyabean,kharif,538.0,52.0,37.0,190.0,5.99
sunflower,kharif,246.0,24.0,29.0,190.0,6.34
arecanut,whole year,268.0,27.0,39.0,92.0,16.75
arhar/tur,rabi,5439.0,555.0,25.0,92.0,4.98
ginger,whole year,2547.0,260.0,39.0,92.0,24.59
gram,kharif,91.0,9.0,38.0,92.0,11.1
linseed,rabi,5872.0,599.0,29.0,92.0,2.42
rapeseed andmustard,rabi,2452.0,250.0,19.0,92.0,3.22
small millets,rabi,931.0,95.0,39.0,92.0,8.16
arhar/tur,kharif,7236.0,739.0,30.0,182.0,7.08
castor seed,kharif,1636.0,167.0,29.0,182.0,4.1
cotton lint,kharif,1882.0,192.0,39.0,182.0,4.57
gram,rabi,2463.0,251.0,30.0,182.0,5.26
mesta,kharif,4969.0,507.0,34.0,182.0,49.27
moong green gram,rabi,8206.0,838.0,29.0,182.0,4.56
niger seed,kharif,8914.0,910.0,19.0,182.0,5.12
onion,whole year,7476.0,763.0,33.0,182.0,23.35
small millets,kharif,8480.0,866.0,31.0,182.0,5.19
sweet potato,whole year,8343.0,852.0,21.0,182.0,34.36
tapioca,whole year,2904.0,296.0,28.0,182.0,47.21
tobacco,whole year,1195.0,122.0,21.0,182.0,4.96
arecanut,whole year,1600.0,163.0,19.0,253.0,15.62
black pepper,whole year,573.0,58.0,22.0,253.0,1.75
groundnut,kharif,148.0,15.0,32.0,253.0,9.26
groundnut,rabi,1515.0,154.0,25.0,253.0,15.78
ragi,kharif,315.0,32.0,27.0,253.0,10.0
bajra,rabi,442.0,45.0,29.0,100.0,5.0
bajra,summer,850.0,86.0,37.0,100.0,10.93
jowar,summer,6418.0,655.0,24.0,100.0,19.3
maize,summer,9272.0,946.0,15.0,100.0,25.84
mesta,kharif,3668.0,374.0,27.0,100.0,14.16
moong green gram,rabi,7111.0,726.0,25.0,100.0,2.94
ragi,summer,9271.0,946.0,36.0,100.0,15.27
rapeseed andmustard,rabi,7063.0,721.0,17.0,100.0,2.7
sannhamp,whole year,2555.0,260.0,27.0,100.0,2.48
turmeric,whole year,7058.0,720.0,30.0,100.0,51.53
cotton lint,kharif,3760.0,384.0,38.0,294.0,16.14
groundnut,kharif,2437.0,248.0,38.0,294.0,7.44
jowar,kharif,2902.0,296.0,35.0,294.0,5.09
ragi,kharif,1947.0,198.0,31.0,294.0,8.09
sesamum,kharif,878.0,89.0,40.0,294.0,3.23
turmeric,whole year,3558.0,363.0,17.0,294.0,22.19
arhar/tur,kharif,818.0,83.0,17.0,424.0,7.71
castor seed,kharif,25.0,2.0,31.0,424.0,5.2
cotton lint,kharif,7323.0,747.0,23.0,424.0,10.75
dry chillies,whole year,1825.0,186.0,23.0,424.0,6.35
ginger,kharif,8897.0,908.0,22.0,424.0,41.13
gram,rabi,489.0,49.0,23.0,424.0,6.11
rapeseed andmustard,rabi,7156.0,730.0,23.0,424.0,6.68
sesamum,kharif,1331.0,135.0,30.0,424.0,5.21
small millets,kharif,2720.0,277.0,31.0,424.0,7.91
soyabean,kharif,981.0,100.0,31.0,424.0,9.57
sugarcane,whole year,83.0,8.0,23.0,424.0,27.23
sweet potato,whole year,4942.0,504.0,26.0,424.0,33.64
tapioca,whole year,3971.0,405.0,28.0,424.0,51.97
tobacco,whole year,728.0,74.0,17.0,424.0,6.59
wheat,rabi,2753.0,281.0,17.0,424.0,17.48
arecanut,whole year,65.0,6.0,28.0,143.0,21.08
bajra,kharif,162.0,16.0,26.0,143.0,21.3
black pepper,whole year,12.0,1.0,36.0,143.0,9.17
cashewnut,whole year,191.0,19.0,17.0,143.0,7.02
cotton lint,kharif,575.0,58.0,34.0,143.0,51.57
ginger,kharif,171.0,17.0,17.0,143.0,5.2
groundnut,kharif,1229.0,125.0,24.0,143.0,15.58
moong green gram,rabi,544.0,55.0,22.0,143.0,1.93
ragi,kharif,138.0,14.0,16.0,143.0,23.55
urad,rabi,811.0,82.0,39.0,143.0,3.29
arecanut,whole year,9276.0,947.0,34.0,155.0,16.05
arhar/tur,kharif,3938.0,402.0,32.0,155.0,8.3
bajra,kharif,425.0,43.0,18.0,155.0,7.58
barley,rabi,2622.0,267.0,29.0,155.0,10.77
cardamom,whole year,2875.0,293.0,17.0,155.0,2.45
castor seed,kharif,80.0,8.0,34.0,155.0,9.12
cotton lint,kharif,1795.0,183.0,17.0,155.0,24.96
ginger,kharif,8133.0,830.0,30.0,155.0,19.76
groundnut,kharif,2197.0,224.0,37.0,155.0,9.68
groundnut,rabi,8679.0,886.0,35.0,155.0,13.42
horse-gram,rabi,3681.0,375.0,29.0,155.0,8.6
jowar,kharif,1194.0,121.0,29.0,155.0,5.51
moong green gram,kharif,619.0,63.0,18.0,155.0,5.02
moong green gram,rabi,1814.0,185.0,29.0,155.0,5.5
moong green gram,summer,8468.0,864.0,22.0,155.0,5.59
niger seed,kharif,6362.0,649.0,18.0,155.0,5.08
peas and beans  pulses,rabi,8836.0,902.0,23.0,155.0,6.34
safflower,rabi,58.0,5.0,15.0,155.0,3.79
sannhamp,whole year,1515.0,154.0,26.0,155.0,48.61
small millets,kharif,4610.0,470.0,28.0,155.0,6.78
soyabean,kharif,516.0,52.0,40.0,155.0,5.97
sunflower,kharif,1279.0,130.0,24.0,155.0,13.22
arecanut,whole year,296.0,28.0,38.0,64.0,14.43
arhar/tur,rabi,8200.0,776.0,29.0,64.0,3.66
bajra,rabi,7268.0,688.0,24.0,64.0,5.44
ginger,whole year,2026.0,191.0,25.0,64.0,16.35
gram,kharif,37.0,3.0,35.0,64.0,12.16
linseed,rabi,4070.0,385.0,21.0,64.0,3.04
rapeseed andmustard,rabi,3369.0,318.0,38.0,64.0,2.2
small millets,rabi,1986.0,188.0,31.0,64.0,3.63
arhar/tur,kharif,7013.0,663.0,30.0,197.0,7.07
castor seed,kharif,1577.0,149.0,31.0,197.0,4.13
cotton lint,kharif,1556.0,147.0,21.0,197.0,4.6
gram,rabi,2388.0,226.0,22.0,197.0,5.05
mesta,kharif,5133.0,485.0,39.0,197.0,49.54
moong green gram,rabi,7161.0,677.0,33.0,197.0,4.59
onion,whole year,7500.0,710.0,40.0,197.0,23.29
small millets,kharif,8310.0,786.0,27.0,197.0,5.21
sweet potato,whole year,8243.0,780.0,40.0,197.0,34.53
tapioca,whole year,2835.0,268.0,15.0,197.0,47.62
tobacco,whole year,1104.0,104.0,28.0,197.0,4.88
arecanut,whole year,1600.0,151.0,39.0,251.0,15.62
black pepper,whole year,583.0,55.0,18.0,251.0,1.77
groundnut,kharif,241.0,22.0,25.0,251.0,14.44
groundnut,rabi,2148.0,203.0,33.0,251.0,18.23
ragi,kharif,353.0,33.0,35.0,251.0,8.53
cotton lint,kharif,3400.0,321.0,33.0,251.0,16.14
ginger,whole year,8998.0,851.0,16.0,251.0,36.02
groundnut,kharif,2422.0,229.0,27.0,251.0,7.44
jowar,kharif,2571.0,243.0,37.0,251.0,5.1
ragi,kharif,1320.0,124.0,31.0,251.0,8.09
sesamum,kharif,811.0,76.0,30.0,251.0,3.21
turmeric,whole year,3140.0,297.0,36.0,251.0,22.1
gram,rabi,6199.0,586.0,16.0,31.0,6.73
rapeseed andmustard,rabi,585.0,55.0,32.0,31.0,2.43
small millets,kharif,7348.0,695.0,36.0,31.0,5.63
sunflower,kharif,7709.0,729.0,28.0,31.0,11.56
tobacco,whole year,8213.0,777.0,32.0,31.0,15.38
arecanut,whole year,9081.0,859.0,33.0,162.0,18.24
arhar/tur,kharif,3075.0,291.0,40.0,162.0,9.13
bajra,kharif,332.0,31.0,38.0,162.0,7.59
barley,rabi,2459.0,232.0,18.0,162.0,9.52
cardamom,whole year,2874.0,272.0,27.0,162.0,2.45
castor seed,kharif,45.0,4.0,21.0,162.0,9.33
cotton lint,kharif,823.0,77.0,27.0,162.0,17.91
ginger,kharif,9383.0,888.0,33.0,162.0,21.53
groundnut,kharif,1368.0,129.0,35.0,162.0,9.63
groundnut,rabi,7020.0,664.0,35.0,162.0,14.99
horse-gram,rabi,5748.0,544.0,16.0,162.0,4.64
jowar,kharif,1643.0,155.0,29.0,162.0,7.51
khesari,kharif,584.0,55.0,33.0,162.0,8.68
linseed,rabi,8859.0,838.0,31.0,162.0,4.17
moong green gram,kharif,556.0,52.0,21.0,162.0,4.82
moong green gram,rabi,1601.0,151.0,39.0,162.0,5.88
moong green gram,summer,7615.0,720.0,25.0,162.0,5.04
niger seed,kharif,6809.0,644.0,35.0,162.0,5.28
safflower,rabi,39.0,3.0,24.0,162.0,7.95
sannhamp,whole year,1374.0,130.0,38.0,162.0,50.35
sesamum,autumn,1049.0,99.0,19.0,162.0,5.61
sesamum,winter,2782.0,263.0,20.0,162.0,5.65
small millets,kharif,3126.0,295.0,36.0,162.0,6.68
small millets,rabi,1030.0,97.0,33.0,162.0,11.02
soyabean,kharif,520.0,49.0,37.0,162.0,5.98
sunflower,kharif,2369.0,224.0,32.0,162.0,13.54
tobacco,whole year,7757.0,734.0,23.0,162.0,5.42
arecanut,whole year,311.0,30.0,16.0,82.0,7.11
arhar/tur,rabi,7492.0,741.0,19.0,82.0,4.33
ginger,whole year,1873.0,185.0,16.0,82.0,29.97
gram,kharif,52.0,5.0,28.0,82.0,17.31
linseed,rabi,4542.0,449.0,18.0,82.0,2.63
rapeseed andmustard,rabi,1695.0,167.0,22.0,82.0,2.55
small millets,rabi,3134.0,310.0,36.0,82.0,5.58
arhar/tur,kharif,7012.0,694.0,34.0,221.0,7.05
castor seed,kharif,1493.0,147.0,36.0,221.0,4.15
cotton lint,kharif,1438.0,142.0,34.0,221.0,4.62
gram,rabi,2419.0,239.0,22.0,221.0,5.19
mesta,kharif,5420.0,536.0,34.0,221.0,47.73
moong green gram,rabi,7595.0,751.0,37.0,221.0,4.63
onion,whole year,7332.0,725.0,33.0,221.0,23.38
small millets,kharif,8299.0,821.0,18.0,221.0,5.21
sweet potato,whole year,8194.0,811.0,32.0,221.0,34.64
tapioca,whole year,2873.0,284.0,18.0,221.0,47.38
tobacco,whole year,828.0,81.0,22.0,221.0,5.02
arecanut,whole year,1600.0,158.0,39.0,301.0,16.56
black pepper,whole year,589.0,58.0,20.0,301.0,1.75
groundnut,kharif,325.0,32.0,19.0,301.0,11.17
groundnut,rabi,2950.0,291.0,33.0,301.0,18.0
ragi,kharif,439.0,43.0,37.0,301.0,8.97
bajra,rabi,117.0,11.0,27.0,86.0,8.97
bajra,summer,300.0,29.0,18.0,86.0,9.03
coriander,whole year,7797.0,771.0,35.0,86.0,1.52
garlic,whole year,3970.0,392.0,26.0,86.0,7.31
jowar,summer,7007.0,693.0,40.0,86.0,26.81
maize,summer,8428.0,834.0,28.0,86.0,24.04
mesta,kharif,4060.0,401.0,31.0,86.0,14.91
moong green gram,rabi,8380.0,829.0,30.0,86.0,2.92
ragi,summer,6565.0,649.0,27.0,86.0,11.89
rapeseed andmustard,rabi,6048.0,598.0,32.0,86.0,2.82
sannhamp,whole year,466.0,46.0,16.0,86.0,2.49
turmeric,whole year,5410.0,535.0,24.0,86.0,48.76
